mxnet,tensorflow,seed,dim
0.07999004499970397,0.08448910900006013,7,3500
0.07956334800019249,0.08405063500003962,7,3500
0.08124915400003374,0.2101886409996041,8,3500
0.08391074800010756,0.10971466399996643,8,3500
0.06681768700036628,0.09399149399996531,8,3500
0.0802257099999224,0.0834756300000663,8,3500
0.07874722399992606,0.13409332700030063,8,3500
0.08669898000016474,0.09463818199992602,9,3500
0.0848538870000084,0.10311853899975176,9,3500
0.08641985499980365,0.10609731800013833,9,3500
0.08456268999998429,0.08994582000013907,9,3500
0.08264477100010481,0.09193950300004872,9,3500
0.08521017599969127,0.15924506800001836,10,3500
0.08407452899973578,0.08944385899985718,10,3500
0.08290203699971244,0.08909631500000614,10,3500
0.0830412579998665,0.0960785960000976,10,3500
0.089133013999799,0.09445091199995659,10,3500
0.0883344210001269,0.09508910300019124,11,3500
0.08764744099971722,0.09267371699979776,11,3500
0.09026670599996578,0.1668629730002067,11,3500
0.08622124999965308,0.0941954589998204,11,3500
0.08764526200002365,0.0941226159998223,11,3500
0.09292347800010248,0.15721919399993567,12,3500
0.08676385599983405,0.09429599099985353,12,3500
0.08510905100001764,0.09218486399959147,12,3500
0.08667723400003524,0.09652696699959051,12,3500
0.08644043799995416,0.0937747150001087,12,3500
0.08866187500007072,0.09427555899992512,13,3500
0.0881015270001626,0.09595065100029387,13,3500
0.0900651089996245,0.09604267699978664,13,3500
0.08767894199991133,0.09324211400007698,13,3500
0.08946370400008163,0.09627593599998363,13,3500
0.09408632600025157,0.10224428199990143,14,3500
0.09055142900024293,0.09667304199956561,14,3500
0.08705907500007015,0.09781371200006106,14,3500
0.08745783499989557,0.09461142700001801,14,3500
0.08723259099997449,0.09487629699970057,14,3500
0.0920764570000756,0.09852840800022022,15,3500
0.08822368600021946,0.09608893399990848,15,3500
0.08871889400006694,0.10039130300037868,15,3500
0.08930155099960757,0.18342284999971525,15,3500
0.11558543399996779,0.09317330200019569,15,3500
0.08209153100006006,0.08344356399993558,16,3500
0.07969622300015544,0.08572222800012241,16,3500
0.07934805600007167,0.08623383699978149,16,3500
0.07945415599988337,0.08249886200019318,16,3500
0.0794732419999491,0.08360150499993324,16,3500
0.08132371600004262,0.07670476000021154,17,3500
0.0798014570000305,0.07356099299977359,17,3500
0.07941355200000544,0.07863052499988044,17,3500
0.0879326399999627,0.07516410000016549,17,3500
0.07926197699998738,0.076057383999796,17,3500
0.08150647899992691,0.08364045999996961,18,3500
0.07974405999993905,0.07520550700019157,18,3500
0.07912686200006647,0.07402019500023016,18,3500
0.09126390099982018,0.1050933689998601,18,3500
0.08598448199973063,0.0738536529997873,18,3500
0.0810736389998965,0.08218425699988074,19,3500
0.0787858660000893,0.07719935000022815,19,3500
0.07987799000011364,0.0766649359998155,19,3500
0.07919085799994718,0.07535205500016673,19,3500
0.09022472700007711,0.10491640800000823,19,3500
0.08443842699989546,0.09000644900015686,0,6500
0.08168573499960985,0.07886835399995107,0,6500
0.07973313900038193,0.07760601299969494,0,6500
0.08046118700031002,0.07727368499990916,0,6500
0.07947185000011814,0.08894479100035824,0,6500
0.08994362200019168,0.10164961099962966,1,6500
0.08725786000013613,0.09556688700013183,1,6500
0.0841552159999992,0.09249346700016758,1,6500
0.08434064199991553,0.09282183699997404,1,6500
0.09326601199973084,0.11130797099986012,1,6500
